,sample_count,base_accuracy,min_ablated_accuracy,max_ablated_accuracy,mean_ablated_accuracy,diff_vs_min,diff_vs_max,diff_vs_mean
other_race_or_ethnicity,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5254629629629615,0.0,-0.3333333333333333,-0.19212962962962815
buddhist,13,0.6153846153846154,0.6923076923076923,1.0,0.8520299145299136,-0.07692307692307687,-0.3846153846153846,-0.2366452991452982
psychiatric_or_mental_illness,143,0.4755244755244755,0.5034965034965035,0.8601398601398601,0.7214937839937836,-0.027972027972028024,-0.3846153846153846,-0.2459693084693081
latino,57,0.42105263157894735,0.43859649122807015,0.8245614035087719,0.6772660818713462,-0.017543859649122806,-0.4035087719298246,-0.25621345029239884
homosexual_gay_or_lesbian,637,0.28728414442700156,0.3139717425431711,0.7598116169544741,0.5632195185766615,-0.026687598116169553,-0.4725274725274725,-0.27593537414965996
jewish,486,0.42386831275720166,0.45267489711934156,0.8847736625514403,0.702146204846822,-0.028806584362139898,-0.46090534979423864,-0.27827789208962034
muslim,1596,0.37844611528822053,0.40350877192982454,0.8214285714285714,0.6602095516569204,-0.02506265664160401,-0.44298245614035087,-0.2817634363686999
asian,169,0.4260355029585799,0.4319526627218935,0.9053254437869822,0.70784023668639,-0.005917159763313584,-0.4792899408284023,-0.28180473372781006
female,3705,0.43562753036437246,0.46450742240215925,0.8998650472334683,0.7335994901784374,-0.028879892037786792,-0.4642375168690958,-0.29797195981406494
christian,2110,0.46398104265402845,0.4938388625592417,0.9265402843601895,0.762766587677725,-0.029857819905213245,-0.4625592417061611,-0.29878554502369653
male,2335,0.4342612419700214,0.46552462526766597,0.8985010706638116,0.7347965738758032,-0.031263383297644554,-0.46423982869379016,-0.3005353319057818
black,971,0.2564366632337796,0.3038105046343975,0.7281153450051493,0.5681428081016134,-0.0473738414006179,-0.4716786817713697,-0.3117061448678338
white,1579,0.279290690310323,0.3147561747941735,0.7669411019632679,0.596839596087538,-0.03546548448385051,-0.4876504116529449,-0.317548905777215
heterosexual,64,0.359375,0.375,0.90625,0.6773003472222222,-0.015625,-0.546875,-0.3179253472222222
atheist,86,0.46511627906976744,0.5232558139534884,0.9069767441860465,0.7982881136950906,-0.05813953488372098,-0.441860465116279,-0.3331718346253231
hindu,21,0.5238095238095238,0.5238095238095238,1.0,0.8693783068783058,0.0,-0.47619047619047616,-0.3455687830687819
transgender,129,0.3023255813953488,0.31007751937984496,0.8914728682170543,0.688684323858742,-0.007751937984496138,-0.5891472868217055,-0.3863587424633932
bisexual,6,0.3333333333333333,0.3333333333333333,1.0,0.7893518518518525,0.0,-0.6666666666666667,-0.4560185185185192
