,sample_count,base_accuracy,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,5_11,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10,6_11,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10,7_11,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_10,8_11,9_0,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9,9_10,9_11,10_0,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,10_10,10_11,11_0,11_1,11_2,11_3,11_4,11_5,11_6,11_7,11_8,11_9,11_10,11_11
male,2335,0.4342612419700214,0.7790149892933619,0.7400428265524626,0.8325481798715203,0.8316916488222698,0.823982869379015,0.7734475374732334,0.7773019271948608,0.7940042826552463,0.7738758029978586,0.7725910064239828,0.8985010706638116,0.8021413276231263,0.8518201284796574,0.8471092077087794,0.8428265524625268,0.841541755888651,0.8334047109207708,0.7117773019271949,0.8475374732334047,0.8466809421841541,0.8586723768736617,0.8398286937901499,0.8419700214132763,0.854389721627409,0.6595289079229122,0.6591006423982869,0.6316916488222698,0.6513918629550322,0.6573875802997858,0.6385438972162741,0.571306209850107,0.6548179871520342,0.7134903640256959,0.6638115631691649,0.6359743040685225,0.7027837259100642,0.8329764453961456,0.8072805139186295,0.6852248394004282,0.7593147751605995,0.8029978586723768,0.7871520342612419,0.7978586723768737,0.769593147751606,0.7880085653104925,0.7927194860813704,0.8029978586723768,0.7743040685224839,0.8655246252676659,0.8740899357601714,0.8556745182012848,0.8355460385438972,0.8539614561027837,0.8222698072805139,0.8304068522483941,0.8509635974304068,0.8149892933618844,0.8680942184154176,0.8475374732334047,0.8492505353319058,0.8788008565310492,0.8903640256959314,0.8852248394004283,0.8869379014989294,0.8792291220556745,0.8946466809421841,0.8766595289079229,0.8830835117773019,0.8843683083511777,0.8865096359743041,0.880085653104925,0.8732334047109208,0.8749464668094219,0.8698072805139186,0.8595289079229123,0.8650963597430407,0.8638115631691649,0.859100642398287,0.8552462526766595,0.8715203426124197,0.8633832976445396,0.8479657387580299,0.8633832976445396,0.8513918629550321,0.6077087794432549,0.69593147751606,0.6796573875802998,0.635117773019272,0.622269807280514,0.6154175588865096,0.6342612419700214,0.65610278372591,0.6513918629550322,0.6149892933618843,0.6535331905781585,0.6483940042826553,0.6839400428265524,0.6843683083511777,0.6796573875802998,0.6976445396145611,0.7241970021413277,0.6595289079229122,0.6753747323340471,0.6805139186295504,0.6856531049250535,0.678372591006424,0.6745182012847966,0.6963597430406853,0.7053533190578158,0.6989293361884368,0.6976445396145611,0.7062098501070664,0.6937901498929336,0.6882226980728051,0.7241970021413277,0.7267665952890793,0.7079229122055675,0.7104925053533191,0.6890792291220557,0.7053533190578158,0.6462526766595289,0.6235546038543898,0.6197002141327623,0.6209850107066381,0.635117773019272,0.6252676659528907,0.6295503211991434,0.6441113490364025,0.6321199143468951,0.6325481798715203,0.5931477516059958,0.6364025695931478,0.507066381156317,0.48051391862955034,0.4955032119914347,0.48522483940042827,0.5190578158458244,0.48394004282655245,0.48008565310492507,0.510492505353319,0.5182012847965739,0.48865096359743043,0.46552462526766597,0.47922912205567453
female,3705,0.43562753036437246,0.757085020242915,0.7230769230769231,0.8210526315789474,0.8342780026990553,0.8107962213225371,0.7589743589743589,0.764102564102564,0.7805668016194331,0.7597840755735492,0.7546558704453441,0.8998650472334683,0.7840755735492577,0.8456140350877193,0.8412955465587044,0.8321187584345479,0.835357624831309,0.8210526315789474,0.7074224021592442,0.8402159244264508,0.8388663967611336,0.8488529014844804,0.8367071524966262,0.8380566801619433,0.8421052631578947,0.658029689608637,0.6550607287449393,0.631578947368421,0.6472334682860998,0.6612685560053981,0.6361673414304994,0.5605937921727395,0.652361673414305,0.7052631578947368,0.6572199730094467,0.6439946018893388,0.7060728744939271,0.8364372469635628,0.8089068825910931,0.6804318488529015,0.7573549257759784,0.794331983805668,0.7819163292847503,0.7932523616734143,0.7614035087719299,0.7878542510121458,0.7878542510121458,0.7948717948717948,0.7649122807017544,0.873144399460189,0.8728744939271255,0.856140350877193,0.8388663967611336,0.8566801619433199,0.8226720647773279,0.8259109311740891,0.8534412955465587,0.8180836707152497,0.8720647773279352,0.8507422402159244,0.8520917678812415,0.8771929824561403,0.8904183535762483,0.8842105263157894,0.8852901484480432,0.8793522267206477,0.893387314439946,0.8782726045883941,0.8847503373819163,0.8855600539811066,0.8871794871794871,0.8771929824561403,0.8747638326585695,0.8717948717948718,0.8690958164642375,0.8491228070175438,0.8596491228070176,0.8577597840755735,0.8518218623481781,0.8510121457489879,0.870715249662618,0.8569500674763832,0.8399460188933873,0.8577597840755735,0.8518218623481781,0.6032388663967612,0.6847503373819164,0.6763832658569501,0.6304993252361674,0.6107962213225371,0.6116059379217273,0.6242914979757085,0.6415654520917679,0.6380566801619433,0.611336032388664,0.646693657219973,0.6418353576248313,0.6885290148448043,0.6815114709851552,0.6852901484480431,0.6993252361673414,0.7317139001349527,0.6636977058029689,0.6817813765182186,0.6782726045883941,0.6866396761133603,0.680161943319838,0.6739541160593793,0.6979757085020243,0.7133603238866397,0.708502024291498,0.7014844804318489,0.7133603238866397,0.7039136302294197,0.6974358974358974,0.7309041835357625,0.7363022941970311,0.7203778677462888,0.721187584345479,0.6982456140350877,0.7174089068825911,0.6566801619433198,0.6318488529014845,0.6267206477732794,0.6288798920377868,0.644804318488529,0.6345479082321187,0.6407557354925776,0.6566801619433198,0.6431848852901485,0.642914979757085,0.5954116059379218,0.6445344129554655,0.5109311740890689,0.4825910931174089,0.49635627530364373,0.49014844804318486,0.5201079622132254,0.48771929824561405,0.4852901484480432,0.5114709851551957,0.517948717948718,0.4920377867746289,0.46450742240215925,0.4817813765182186
transgender,129,0.3023255813953488,0.7054263565891473,0.7131782945736435,0.8062015503875969,0.8527131782945736,0.8062015503875969,0.7131782945736435,0.7441860465116279,0.7751937984496124,0.7364341085271318,0.7286821705426356,0.8837209302325582,0.7596899224806202,0.7984496124031008,0.7984496124031008,0.7984496124031008,0.8217054263565892,0.7984496124031008,0.6821705426356589,0.8062015503875969,0.7906976744186046,0.8294573643410853,0.8062015503875969,0.7906976744186046,0.8062015503875969,0.5503875968992248,0.5813953488372093,0.5658914728682171,0.5658914728682171,0.6201550387596899,0.5503875968992248,0.5348837209302325,0.5658914728682171,0.627906976744186,0.5736434108527132,0.5348837209302325,0.6201550387596899,0.7751937984496124,0.7906976744186046,0.6124031007751938,0.6589147286821705,0.7751937984496124,0.7286821705426356,0.7364341085271318,0.7054263565891473,0.7131782945736435,0.7364341085271318,0.751937984496124,0.7674418604651163,0.875968992248062,0.875968992248062,0.875968992248062,0.8217054263565892,0.8449612403100775,0.7906976744186046,0.8217054263565892,0.8449612403100775,0.7984496124031008,0.8837209302325582,0.8527131782945736,0.8294573643410853,0.8837209302325582,0.8914728682170543,0.8837209302325582,0.8837209302325582,0.8682170542635659,0.8837209302325582,0.8682170542635659,0.8837209302325582,0.8914728682170543,0.8837209302325582,0.875968992248062,0.8682170542635659,0.8449612403100775,0.8527131782945736,0.8449612403100775,0.8372093023255814,0.8449612403100775,0.8217054263565892,0.8372093023255814,0.8682170542635659,0.8449612403100775,0.8217054263565892,0.8527131782945736,0.8372093023255814,0.5813953488372093,0.6589147286821705,0.6821705426356589,0.6046511627906976,0.5968992248062015,0.5891472868217055,0.6124031007751938,0.6434108527131783,0.627906976744186,0.6046511627906976,0.6434108527131783,0.6356589147286822,0.6589147286821705,0.6666666666666666,0.627906976744186,0.6666666666666666,0.7131782945736435,0.6434108527131783,0.6434108527131783,0.627906976744186,0.6589147286821705,0.6589147286821705,0.627906976744186,0.6666666666666666,0.6589147286821705,0.6511627906976745,0.6201550387596899,0.6434108527131783,0.627906976744186,0.6356589147286822,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.627906976744186,0.6511627906976745,0.5813953488372093,0.5736434108527132,0.5581395348837209,0.5503875968992248,0.5581395348837209,0.5581395348837209,0.5348837209302325,0.5813953488372093,0.5658914728682171,0.5658914728682171,0.5116279069767442,0.5581395348837209,0.3643410852713178,0.3333333333333333,0.34108527131782945,0.3333333333333333,0.3953488372093023,0.34108527131782945,0.3333333333333333,0.3953488372093023,0.3875968992248062,0.34108527131782945,0.31007751937984496,0.3488372093023256
heterosexual,64,0.359375,0.734375,0.671875,0.796875,0.796875,0.71875,0.703125,0.734375,0.765625,0.71875,0.75,0.859375,0.734375,0.828125,0.84375,0.78125,0.78125,0.78125,0.703125,0.8125,0.796875,0.828125,0.796875,0.8125,0.8125,0.5625,0.609375,0.546875,0.59375,0.609375,0.578125,0.515625,0.59375,0.640625,0.609375,0.53125,0.640625,0.71875,0.703125,0.625,0.671875,0.6875,0.671875,0.6875,0.65625,0.75,0.703125,0.6875,0.734375,0.796875,0.828125,0.8125,0.78125,0.8125,0.796875,0.765625,0.78125,0.78125,0.8125,0.78125,0.78125,0.828125,0.859375,0.828125,0.84375,0.828125,0.84375,0.859375,0.859375,0.859375,0.859375,0.84375,0.828125,0.859375,0.90625,0.78125,0.828125,0.828125,0.78125,0.796875,0.84375,0.828125,0.78125,0.8125,0.796875,0.625,0.640625,0.703125,0.578125,0.625,0.625,0.625,0.640625,0.640625,0.640625,0.671875,0.65625,0.640625,0.640625,0.625,0.65625,0.65625,0.609375,0.625,0.625,0.65625,0.640625,0.609375,0.625,0.625,0.625,0.609375,0.625,0.625,0.609375,0.625,0.640625,0.625,0.625,0.625,0.65625,0.5625,0.546875,0.53125,0.53125,0.546875,0.53125,0.546875,0.609375,0.546875,0.546875,0.5,0.546875,0.421875,0.390625,0.40625,0.390625,0.421875,0.390625,0.390625,0.40625,0.40625,0.390625,0.375,0.390625
homosexual_gay_or_lesbian,637,0.28728414442700156,0.5463108320251178,0.5902668759811617,0.6153846153846154,0.7252747252747253,0.6232339089481946,0.5745682888540031,0.5886970172684458,0.6452119309262166,0.5745682888540031,0.5635792778649922,0.7598116169544741,0.6043956043956044,0.6656200941915228,0.673469387755102,0.6687598116169545,0.6781789638932496,0.6436420722135008,0.543171114599686,0.6781789638932496,0.6718995290423861,0.6875981161695447,0.6781789638932496,0.6609105180533752,0.6860282574568289,0.42700156985871274,0.4175824175824176,0.41444270015698587,0.4097331240188383,0.4725274725274725,0.41130298273155413,0.38304552590266877,0.423861852433281,0.46781789638932497,0.423861852433281,0.434850863422292,0.45682888540031397,0.609105180533752,0.6122448979591837,0.47566718995290425,0.5447409733124019,0.6342229199372057,0.5839874411302983,0.6059654631083202,0.5698587127158555,0.640502354788069,0.5918367346938775,0.5949764521193093,0.598116169544741,0.7252747252747253,0.6907378335949764,0.6970172684458399,0.6860282574568289,0.7017268445839875,0.6514913657770801,0.6766091051805337,0.7127158555729984,0.6609105180533752,0.7299843014128728,0.7095761381475667,0.695447409733124,0.7080062794348508,0.7425431711145997,0.7252747252747253,0.7252747252747253,0.7127158555729984,0.7425431711145997,0.7189952904238619,0.7221350078492935,0.7315541601255887,0.7299843014128728,0.7299843014128728,0.7158555729984302,0.706436420722135,0.7142857142857143,0.6938775510204082,0.695447409733124,0.7017268445839875,0.6766091051805337,0.6813186813186813,0.695447409733124,0.6844583987441131,0.6671899529042387,0.6875981161695447,0.6797488226059655,0.4803767660910518,0.5243328100470958,0.565149136577708,0.4913657770800628,0.4850863422291994,0.4850863422291994,0.49293563579277866,0.4976452119309262,0.49921507064364207,0.49607535321821034,0.5180533751962323,0.4913657770800628,0.521193092621664,0.5180533751962323,0.5070643642072213,0.5400313971742543,0.5463108320251178,0.4976452119309262,0.5180533751962323,0.5117739403453689,0.521193092621664,0.5149136577708007,0.5133437990580848,0.521193092621664,0.5274725274725275,0.5227629513343799,0.5196232339089482,0.5290423861852434,0.5196232339089482,0.5164835164835165,0.5400313971742543,0.5620094191522763,0.5274725274725275,0.533751962323391,0.5196232339089482,0.5274725274725275,0.4850863422291994,0.4725274725274725,0.45839874411302983,0.45368916797488223,0.4599686028257457,0.4631083202511774,0.4599686028257457,0.5086342229199372,0.46938775510204084,0.47095761381475665,0.41915227629513346,0.47095761381475665,0.3453689167974882,0.32339089481946626,0.33437990580847726,0.33124018838304553,0.3642072213500785,0.32967032967032966,0.32967032967032966,0.3579277864992151,0.35949764521193095,0.31711145996860285,0.3139717425431711,0.3249607535321821
bisexual,6,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5
christian,2110,0.46398104265402845,0.8151658767772512,0.7990521327014218,0.8682464454976303,0.8990521327014218,0.8601895734597157,0.8208530805687204,0.8236966824644549,0.8464454976303317,0.8265402843601896,0.8241706161137441,0.9265402843601895,0.8412322274881516,0.8663507109004739,0.8729857819905213,0.8687203791469195,0.8649289099526066,0.8573459715639811,0.7345971563981043,0.8739336492890996,0.8706161137440759,0.8824644549763033,0.8663507109004739,0.8606635071090047,0.8791469194312796,0.6682464454976303,0.6753554502369669,0.6540284360189573,0.6734597156398104,0.6838862559241706,0.6601895734597156,0.576303317535545,0.6748815165876777,0.7218009478672985,0.6734597156398104,0.680568720379147,0.7213270142180095,0.8691943127962085,0.8364928909952607,0.7056872037914692,0.8061611374407583,0.8369668246445497,0.8213270142180095,0.8270142180094787,0.8056872037914692,0.8227488151658767,0.8270142180094787,0.8322274881516588,0.818957345971564,0.8971563981042654,0.9014218009478673,0.8838862559241706,0.8720379146919431,0.8810426540284361,0.8507109004739336,0.8592417061611375,0.8834123222748815,0.8554502369668247,0.9004739336492891,0.8791469194312796,0.8786729857819905,0.9151658767772511,0.9222748815165877,0.9170616113744076,0.9180094786729858,0.9104265402843602,0.9241706161137441,0.9151658767772511,0.9170616113744076,0.9203791469194312,0.919431279620853,0.9146919431279621,0.909478672985782,0.8971563981042654,0.885308056872038,0.8777251184834123,0.8824644549763033,0.8848341232227488,0.8729857819905213,0.875829383886256,0.8919431279620853,0.8810426540284361,0.8658767772511848,0.8781990521327014,0.8663507109004739,0.6227488151658768,0.7170616113744076,0.7218009478672985,0.6497630331753554,0.6412322274881517,0.6360189573459716,0.6507109004739337,0.662085308056872,0.6587677725118484,0.6464454976303318,0.6691943127962086,0.6639810426540285,0.7123222748815166,0.7132701421800948,0.7123222748815166,0.7203791469194313,0.7549763033175355,0.6777251184834123,0.7080568720379147,0.7085308056872038,0.7104265402843601,0.7071090047393365,0.6957345971563981,0.7232227488151659,0.7308056872037915,0.7270142180094786,0.7213270142180095,0.7327014218009479,0.7194312796208531,0.7113744075829384,0.7426540284360189,0.7516587677725118,0.7350710900473933,0.7364928909952607,0.7203791469194313,0.7360189573459716,0.6720379146919432,0.6507109004739337,0.6464454976303318,0.6464454976303318,0.6582938388625592,0.6526066350710901,0.6483412322274882,0.6815165876777252,0.6625592417061611,0.6597156398104266,0.6194312796208531,0.6582938388625592,0.5388625592417061,0.5146919431279621,0.5251184834123223,0.5203791469194313,0.5521327014218009,0.5175355450236967,0.5184834123222749,0.542654028436019,0.5445497630331754,0.5222748815165876,0.4938388625592417,0.5146919431279621
jewish,486,0.42386831275720166,0.7386831275720165,0.7263374485596708,0.8004115226337448,0.8621399176954733,0.7921810699588477,0.742798353909465,0.7551440329218106,0.7818930041152263,0.7530864197530864,0.757201646090535,0.8847736625514403,0.7695473251028807,0.7901234567901234,0.7983539094650206,0.7880658436213992,0.7880658436213992,0.7901234567901234,0.7057613168724279,0.8045267489711934,0.7942386831275721,0.8189300411522634,0.7921810699588477,0.7736625514403292,0.8106995884773662,0.5946502057613169,0.6008230452674898,0.5761316872427984,0.5967078189300411,0.6275720164609053,0.5864197530864198,0.5349794238683128,0.5967078189300411,0.6502057613168725,0.588477366255144,0.6152263374485597,0.6502057613168725,0.8045267489711934,0.7695473251028807,0.6481481481481481,0.7345679012345679,0.7633744855967078,0.7530864197530864,0.757201646090535,0.7469135802469136,0.7592592592592593,0.7633744855967078,0.757201646090535,0.742798353909465,0.845679012345679,0.8415637860082305,0.823045267489712,0.8065843621399177,0.8251028806584362,0.779835390946502,0.7901234567901234,0.8292181069958847,0.7962962962962963,0.845679012345679,0.823045267489712,0.8189300411522634,0.8559670781893004,0.8744855967078189,0.8703703703703703,0.8641975308641975,0.8559670781893004,0.8744855967078189,0.8600823045267489,0.8641975308641975,0.8703703703703703,0.8641975308641975,0.8662551440329218,0.8559670781893004,0.845679012345679,0.831275720164609,0.8106995884773662,0.823045267489712,0.823045267489712,0.8209876543209876,0.8189300411522634,0.8251028806584362,0.8271604938271605,0.8024691358024691,0.823045267489712,0.8148148148148148,0.588477366255144,0.6666666666666666,0.6893004115226338,0.5946502057613169,0.5925925925925926,0.5802469135802469,0.5925925925925926,0.6131687242798354,0.6049382716049383,0.5967078189300411,0.6090534979423868,0.5987654320987654,0.6604938271604939,0.6625514403292181,0.6604938271604939,0.668724279835391,0.7263374485596708,0.6378600823045267,0.668724279835391,0.6584362139917695,0.6604938271604939,0.6563786008230452,0.6419753086419753,0.6831275720164609,0.654320987654321,0.6502057613168725,0.6440329218106996,0.6563786008230452,0.6378600823045267,0.6358024691358025,0.6584362139917695,0.6790123456790124,0.6481481481481481,0.654320987654321,0.6419753086419753,0.6563786008230452,0.6172839506172839,0.6069958847736625,0.5802469135802469,0.5781893004115226,0.5925925925925926,0.5843621399176955,0.5905349794238683,0.6275720164609053,0.5925925925925926,0.5925925925925926,0.5576131687242798,0.5967078189300411,0.5020576131687243,0.47530864197530864,0.4794238683127572,0.48148148148148145,0.49176954732510286,0.4773662551440329,0.47530864197530864,0.49588477366255146,0.49176954732510286,0.4609053497942387,0.45267489711934156,0.4732510288065844
muslim,1596,0.37844611528822053,0.6954887218045113,0.6741854636591479,0.7368421052631579,0.7969924812030075,0.7449874686716792,0.7048872180451128,0.7042606516290727,0.7355889724310777,0.718671679197995,0.7048872180451128,0.8214285714285714,0.7224310776942355,0.7474937343358395,0.7462406015037594,0.7462406015037594,0.7481203007518797,0.7374686716791979,0.6347117794486216,0.7568922305764411,0.7518796992481203,0.7675438596491229,0.7550125313283208,0.7474937343358395,0.7600250626566416,0.5701754385964912,0.581453634085213,0.5595238095238095,0.5827067669172933,0.5783208020050126,0.5620300751879699,0.4830827067669173,0.575187969924812,0.6221804511278195,0.5789473684210527,0.5670426065162907,0.6046365914786967,0.7518796992481203,0.731829573934837,0.6278195488721805,0.7080200501253133,0.7355889724310777,0.7268170426065163,0.7380952380952381,0.7080200501253133,0.7343358395989975,0.7305764411027569,0.731829573934837,0.7205513784461153,0.7944862155388471,0.7913533834586466,0.7756892230576441,0.7600250626566416,0.7719298245614035,0.731829573934837,0.7506265664160401,0.7788220551378446,0.75,0.793233082706767,0.7706766917293233,0.7700501253132832,0.8007518796992481,0.8139097744360902,0.8076441102756893,0.8070175438596491,0.8020050125313283,0.8151629072681704,0.7976190476190477,0.8088972431077694,0.8088972431077694,0.8095238095238095,0.8057644110275689,0.7988721804511278,0.7769423558897243,0.7644110275689223,0.7531328320802005,0.7593984962406015,0.7644110275689223,0.7418546365914787,0.7512531328320802,0.7775689223057645,0.7625313283208021,0.7462406015037594,0.7625313283208021,0.7537593984962406,0.5883458646616542,0.6428571428571429,0.6591478696741855,0.6021303258145363,0.6083959899749374,0.5927318295739349,0.6058897243107769,0.6159147869674185,0.6140350877192983,0.6046365914786967,0.6215538847117794,0.6134085213032582,0.6359649122807017,0.6378446115288221,0.6422305764411027,0.6478696741854637,0.6735588972431078,0.6140350877192983,0.6347117794486216,0.6303258145363408,0.6390977443609023,0.6296992481203008,0.6196741854636592,0.6516290726817042,0.6196741854636592,0.6052631578947368,0.6071428571428571,0.6177944862155389,0.6058897243107769,0.600250626566416,0.6309523809523809,0.6365914786967418,0.6146616541353384,0.6152882205513784,0.6033834586466166,0.6265664160401002,0.5451127819548872,0.5382205513784462,0.5256892230576441,0.5175438596491229,0.5319548872180451,0.531328320802005,0.5150375939849624,0.5513784461152882,0.5332080200501254,0.5357142857142857,0.48621553884711777,0.5332080200501254,0.44360902255639095,0.41791979949874686,0.4273182957393484,0.42355889724310775,0.4392230576441103,0.42105263157894735,0.41729323308270677,0.43609022556390975,0.44110275689223055,0.4273182957393484,0.40350877192982454,0.4191729323308271
hindu,21,0.5238095238095238,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.8095238095238095,0.9523809523809523,1.0,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.8571428571428571,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.9523809523809523,0.9523809523809523,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.9523809523809523,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.6190476190476191,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5714285714285714,0.5238095238095238,0.6190476190476191
